GRID_ID,2015-16,2017-18,2019-20,2021-22,2023-25,CAGR,trajectory
GRID_00_02,,,,18000.0,8166.666666666667,,Insufficient Data
GRID_00_03,,,,,11000.0,,Insufficient Data
GRID_01_02,,,,48000.0,49000.0,,Insufficient Data
GRID_02_02,,,,,100000.0,,Insufficient Data
GRID_03_01,,,,,1183333.3333333333,,Insufficient Data
GRID_03_02,,,,,66000.0,,Insufficient Data
GRID_03_16,,,,,2215000.0,,Insufficient Data
GRID_04_01,,,,14000.0,160500.0,,Insufficient Data
GRID_04_14,,,,,60000.0,,Insufficient Data
GRID_04_16,,,,,40000.0,,Insufficient Data
GRID_04_18,,,,,360000.0,,Insufficient Data
GRID_05_01,,,,10000.0,,,Insufficient Data
GRID_05_02,3000.0,,,29000.0,5000.0,0.05240977914892553,Stable
GRID_05_03,,,,70000.0,265000.0,,Insufficient Data
GRID_05_04,,,2000.0,,98000.0,,Insufficient Data
GRID_05_05,,,,,30000.0,,Insufficient Data
GRID_06_03,,,5000.0,27500.0,,,Insufficient Data
GRID_06_04,,,,,118307.69230769231,,Insufficient Data
GRID_06_05,,,,,16700.0,,Insufficient Data
GRID_06_06,,,,,60200.0,,Insufficient Data
GRID_06_07,,,70000.0,65162.5,3000.0,,Insufficient Data
GRID_06_15,,,,34000.0,30000.0,,Insufficient Data
GRID_07_03,,,,,2000.0,,Insufficient Data
GRID_07_04,,,,,153066.66666666666,,Insufficient Data
GRID_07_05,,,,9500.0,38888.88888888889,,Insufficient Data
GRID_07_06,,,,25700.0,192523.07692307694,,Insufficient Data
GRID_07_07,,,,5288.333333333333,105250.0,,Insufficient Data
GRID_07_08,,,,110633.33333333333,211303.83333333334,,Insufficient Data
GRID_07_09,,,,10000.0,50494.642857142855,,Insufficient Data
GRID_07_10,,,,,51000.0,,Insufficient Data
GRID_07_14,,,,,488000.0,,Insufficient Data
GRID_07_15,,,,,145610.0,,Insufficient Data
GRID_08_05,,,,,2450000.0,,Insufficient Data
GRID_08_06,,,,30000.0,1030333.3333333334,,Insufficient Data
GRID_08_07,,2000.0,,9666.666666666666,273609.0,,Insufficient Data
GRID_08_08,2000.0,,31000.0,8000.0,59666.666666666664,0.4043332481359436,Accelerating
GRID_08_09,3500.0,5500.0,6666.666666666667,12515.0,27689.74358974359,0.22977338289547156,Stable
GRID_08_10,,,,,37500.0,,Insufficient Data
GRID_08_15,,,,500000.0,1200000.0,,Insufficient Data
GRID_08_17,,,,46000.0,53000.0,,Insufficient Data
GRID_08_21,,,,,5666.666666666667,,Insufficient Data
GRID_09_03,,,,60000.0,,,Insufficient Data
GRID_09_06,,,,9333.333333333334,8100.0,,Insufficient Data
GRID_09_07,,,,10000.0,677562.5,,Insufficient Data
GRID_09_08,,,30000.0,,481766.6666666667,,Insufficient Data
GRID_09_09,,,,19000.0,,,Insufficient Data
GRID_09_10,200000.0,,7600.0,123255.55555555556,123580.53703703704,-0.0470019582206983,Declining
GRID_09_11,,6000.0,3000.0,12250.0,377662.24,,Insufficient Data
GRID_09_13,,,,5000.0,,,Insufficient Data
GRID_09_15,,,,,30000.0,,Insufficient Data
GRID_09_16,,,,169000.0,1076714.2857142857,,Insufficient Data
GRID_09_17,,,,72000.0,,,Insufficient Data
GRID_10_03,,,,97000.0,51800.0,,Insufficient Data
GRID_10_07,,,100000.0,,69000.0,,Insufficient Data
GRID_10_08,5000.0,5300.0,11150.0,14000.0,95856.66666666667,0.343585263502892,Accelerating
GRID_10_09,10000.0,,,59666.666666666664,133226.4516129032,0.2955645202114685,Accelerating
GRID_10_10,2250.0,,20000.0,1789571.4285714286,482384.23076923075,0.7104920436600166,Emerging 🚀
GRID_10_11,,,,31000.0,453000.0,,Insufficient Data
GRID_10_12,,,,2900.0,4250.0,,Insufficient Data
GRID_10_13,,,,,1300000.0,,Insufficient Data
GRID_10_14,,,,,239979.0,,Insufficient Data
GRID_11_02,,,,29000.0,61919.4,,Insufficient Data
GRID_11_05,,,25000.0,,,,Insufficient Data
GRID_11_06,,,,,134960.0,,Insufficient Data
GRID_11_08,,,6000.0,70000.0,51935.71428571428,,Insufficient Data
GRID_11_09,,,9000.0,26500.0,393364.70588235295,,Insufficient Data
GRID_11_10,,10000.0,,15875.0,12222.222222222223,,Insufficient Data
GRID_11_11,,,,1000.0,330000.0,,Insufficient Data
GRID_11_12,1000.0,1800.0,4000.0,12333.333333333334,36683.38461538462,0.4336625471653872,Accelerating
GRID_11_13,,,,,315000.0,,Insufficient Data
GRID_11_14,,,,,6350.0,,Insufficient Data
GRID_11_15,,,,,46075.0,,Insufficient Data
GRID_11_16,,,,,2544333.3333333335,,Insufficient Data
GRID_12_00,22000.0,,,47000.0,101000.0,0.16463508518354808,Stable
GRID_12_01,,,,29500.0,29950.0,,Insufficient Data
GRID_12_02,,,,,17000.0,,Insufficient Data
GRID_12_05,,,,,56250.0,,Insufficient Data
GRID_12_06,,,,4000.0,1765500.0,,Insufficient Data
GRID_12_07,,,,3593350.0,320727.2727272727,,Insufficient Data
GRID_12_08,,,,,6600.0,,Insufficient Data
GRID_12_09,,,,,253000.0,,Insufficient Data
GRID_12_12,12000.0,,,87500.0,24928.571428571428,0.07584972830766579,Stable
GRID_12_13,,,,11000.0,43111.11111111111,,Insufficient Data
GRID_12_14,,,,10000.0,7000.0,,Insufficient Data
GRID_12_15,,,828000.0,,5500.0,,Insufficient Data
GRID_12_16,,,,3500.0,146525.0,,Insufficient Data
GRID_12_17,,,,10500.0,28800.0,,Insufficient Data
GRID_12_18,,,,,43500.0,,Insufficient Data
GRID_12_19,,,,25000.0,,,Insufficient Data
GRID_12_20,,,78600.0,129000.0,,,Insufficient Data
GRID_12_21,,,,,213500.0,,Insufficient Data
GRID_13_01,,,,208000.0,,,Insufficient Data
GRID_13_05,,,,23000.0,1000.0,,Insufficient Data
GRID_13_06,,,,,420000.0,,Insufficient Data
GRID_13_07,,,,,19500.0,,Insufficient Data
GRID_13_08,,,,,1187250.0,,Insufficient Data
GRID_13_09,,,,40000.0,165176.4705882353,,Insufficient Data
GRID_13_12,,,,,1071250.0,,Insufficient Data
GRID_13_13,,,55200.0,127483.33333333333,252173.07692307694,,Insufficient Data
GRID_13_14,,,,,223642.85714285713,,Insufficient Data
GRID_13_15,,,,9333.333333333334,39000.0,,Insufficient Data
GRID_13_16,,,,9500.0,1740300.0,,Insufficient Data
GRID_13_17,,,,3000.0,2500.0,,Insufficient Data
GRID_13_20,,,105000.0,133783.33333333334,,,Insufficient Data
GRID_14_08,,,,7000.0,,,Insufficient Data
GRID_14_12,,,,,42000.0,,Insufficient Data
GRID_14_13,,,,,29642.85714285714,,Insufficient Data
GRID_14_14,,,,2500.0,51666.666666666664,,Insufficient Data
GRID_14_15,,,,,1500.0,,Insufficient Data
GRID_14_16,,,,11666.666666666666,158176.92307692306,,Insufficient Data
GRID_14_17,,,,17700.0,31000.0,,Insufficient Data
GRID_14_18,,,,,101000.0,,Insufficient Data
GRID_14_19,,,,,25000.0,,Insufficient Data
GRID_14_20,,,,130000.0,,,Insufficient Data
GRID_14_21,,,,55000.0,176500.0,,Insufficient Data
GRID_15_09,,,,4000.0,158780.0,,Insufficient Data
GRID_15_10,,,,,397250.0,,Insufficient Data
GRID_15_11,,,,,66000.0,,Insufficient Data
GRID_15_13,,,45000.0,,16000.0,,Insufficient Data
GRID_15_14,,,150000.0,2750.0,336115.3846153846,,Insufficient Data
GRID_15_15,,,,179800.0,,,Insufficient Data
GRID_15_18,,,,,282000.0,,Insufficient Data
GRID_15_19,,,,50000.0,117000.0,,Insufficient Data
GRID_15_20,,,,,150333.33333333334,,Insufficient Data
GRID_15_21,,,,,66000.0,,Insufficient Data
GRID_15_22,,,,15000.0,35000.0,,Insufficient Data
GRID_15_23,,,,,32000.0,,Insufficient Data
GRID_15_24,,,,,1903000.0,,Insufficient Data
GRID_16_12,,,,,212500.0,,Insufficient Data
GRID_16_13,,,,,7500.0,,Insufficient Data
GRID_16_14,,,,,130000.0,,Insufficient Data
GRID_16_16,,,,,64500.0,,Insufficient Data
GRID_16_17,,,35000.0,,278000.0,,Insufficient Data
GRID_16_19,,,,,242833.33333333334,,Insufficient Data
GRID_16_20,,,,24000.0,144500.0,,Insufficient Data
GRID_16_21,,,,,6400.0,,Insufficient Data
GRID_16_22,,,6000.0,11000.0,5900.0,,Insufficient Data
GRID_16_23,,,,,122250.0,,Insufficient Data
GRID_16_24,,,6000.0,,50000.0,,Insufficient Data
GRID_17_12,,,,406000.0,493000.0,,Insufficient Data
GRID_17_13,,,,,32500.0,,Insufficient Data
GRID_17_14,,,,,185000.0,,Insufficient Data
GRID_17_17,,,,,4000.0,,Insufficient Data
GRID_17_22,,,,,247000.0,,Insufficient Data
GRID_18_14,,,,,8400.0,,Insufficient Data
GRID_18_18,,,,,15000.0,,Insufficient Data
GRID_18_20,,,,40000.0,240500.0,,Insufficient Data
GRID_18_21,,,,,24000.0,,Insufficient Data
GRID_19_19,,,,250000.0,,,Insufficient Data
GRID_20_20,,15000.0,,,50000.0,,Insufficient Data
GRID_20_21,,,,,278000.0,,Insufficient Data
